Ticker,Name,Price,Dividend Yield,Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
KDCXF,Kudelski SA,5.3,N/A,290.121703,-25.95,N/A,0
KLAC,KLA Corp.,161.14,0.018529588,26227.9556,22.4,0.430998526,1.668096262
KNAMF,Konami Holdings Corp.,41.08,0.023093376,5555.34921,26.01,0.600617856,-0.023430414
KNMCY,Konami Holdings Corp.,39.44,N/A,5333.567986,24.97,N/A,0.081265972
KSFTF,Kingsoft Corp. Ltd.,3.52,N/A,4806.784798,-26.83,N/A,0.207853088
KYCCF,KEYENCE Corp.,340.02,0.002704995,82464.17675,44.02,0.119086469,0.730965193
KYOCF,Kyocera Corp.,67,0.021964237,24283.04839,21.14,0.464418815,-0.017540938
KYOCY,Kyocera Corp.,66.84,N/A,24225.05902,21.09,N/A,0.748416739
LARRF,Laird PLC,,N/A,N/A,N/A,N/A,N/A
LDOS,"Leidos Holdings, Inc.",117.22,0.011067326,16865.01654,25.22,0.283968677,0.930422328
LFUS,"Littelfuse, Inc.",182.455,0.009673647,4582.71412,32.31,0.321987121,1.574109975
LNVGF,Lenovo Group Ltd.,0.748,0.047902479,8987.0704,12.06,0.577920225,0.596701482
LNVGY,Lenovo Group Ltd.,14.67,0.046265031,8812.8558,12.23,0.56592012,1.071458095
LOGI,Logitech International SA,42.435,0.017064049,7153.07268,25.46,0.437702362,1.281165157
LPL,"LG Display Co., Ltd.",6.24,N/A,4529.95056,-1.86,N/A,1.399704344
LRCX,Lam Research Corp.,316.72,0.013699047,47811.06252,22.51,0.319808967,1.774918153
LYTS,"LSI Industries, Inc.",7.28,0.027739251,188.44056,48.99,1.34589502,0.680644798
MANT,ManTech International Corp.,88.125,0.012537729,3454.316937,30.97,0.379453306,0.894215741
MAXR,"Maxar Technologies, Inc.",17.26,0.01756156,1055.0967,-1.3,-0.023350888,0.976525912
MAXR.TO,Maxar Technologies Inc.,23.42,0.23,1370,N/A,N/A,N/A
MCFUF,Micro Focus International Plc,10.25,0.113323328,3417.52425,-12.96,-1.468289859,-0.309126322
MCHP,"Microchip Technology, Inc.",105.06,0.01353001,25901.24394,38.81,0.540370835,1.918166507
MCRNF,Micro-Mechanics (Holdings) Ltd.,1.3,0.084615385,180.7416,20.28,1.716068643,0.208949428
MDF.TO,Mediagrif Interactive Technologies Inc.,5.33,N/A,76.38,N/A,N/A,N/A
MEI,"Methode Electronics, Inc.",34.07,0.012816778,1273.33403,12.12,0.156483391,1.772773529
MGIC,Magic Software Enterprises Ltd.,11.03,0.027702089,538.69728,27.38,0.757199603,0.615886562
MIELF,Mitsubishi Electric Corp.,13.9,0.026365108,29816.97187,14.29,0.376799297,0.102518532
MIXIF,"mixi, Inc.",17.44,0.060614745,1314.097024,14.69,0.89050724,-0.068743458
MIXT,MiX Telematics Ltd.,13.78,0.023574034,299.947728,17.08,0.400495663,0.828226281
MKSI,"MKS Instruments, Inc.",111.95,0.006902502,6317.709,43.79,0.312744332,2.06827326
MLAB,"Mesa Laboratories, Inc.",269.66,0.002373007,1178.589,221.47,0.525969757,0.78743653
MNBEF,"Minebea Mitsumi, Inc.",20,0.012876534,8292.40016,20.35,0.262037731,0.509600621
MNBEY,"Minebea Mitsumi, Inc.",39.37,N/A,8161.794857,17.82,N/A,0.378032111
MNDO,MIND C.T.I. Ltd.,2.58,0.1,51.5164,9.7,0.984848485,-0.00258613
MPWR,"Monolithic Power Systems, Inc.",176.55,0.008692818,8027.96096,70.09,0.634920635,1.800944472
MRAAF,Murata Manufacturing Co. Ltd.,57.2,0.015061906,36596.34704,21.52,0.324180087,0.512217105
MRVL,Marvell Technology Group Ltd.,24.445,0.009550338,16854.691,-35.94,-0.353096955,1.870460405
MSFT,Microsoft Corp.,178.58,0.010519466,1402707.741,30.8,0.334569285,1.285893294
MSI,"Motorola Solutions, Inc.",185.27,0.012661638,31659.4624,35.59,0.451445586,0.743254155
MTHRF,"M3, Inc.",30.16,0.002107124,20463.52978,102.2,0.215353608,0.184851362
